,Rating,CocoaPercentage
929,3.0,70.0
930,2.75,74.0
931,3.25,60.0
932,3.25,56.0
933,3.5,66.0
934,3.5,68.0
935,3.25,68.0
936,3.5,69.0
937,3.0,60.0
938,3.75,60.0
939,3.5,74.0
940,2.5,72.0
941,3.25,60.0
942,2.75,75.0
943,2.75,75.0
944,3.0,75.0
945,3.25,75.0
946,3.0,75.0
947,3.5,75.0
948,3.25,75.0
949,3.75,75.0
950,2.75,70.0
951,2.75,68.0
952,3.5,70.0
953,2.5,75.0
954,3.5,80.0
955,3.0,75.0
956,3.0,75.0
957,3.0,72.0
958,3.5,70.0
959,3.25,70.0
960,3.25,70.0
961,3.25,70.0
962,3.5,70.0
963,3.0,70.0
964,3.25,70.0
965,3.5,70.0
966,3.5,70.0
967,3.5,71.0
968,3.0,70.0
969,3.5,65.0
970,3.5,68.0
971,3.75,68.0
972,2.75,75.0
973,3.0,74.0
974,3.5,68.0
975,3.0,85.0
976,2.5,65.0
977,3.75,70.0
978,3.25,65.0
979,3.75,75.0
980,3.0,71.0
981,3.0,72.0
982,3.5,70.0
983,2.0,75.0
984,2.75,46.0
985,3.0,60.0
986,3.0,58.0
987,3.5,65.0
988,1.5,70.0
989,2.25,55.0
990,3.5,67.0
991,3.75,70.0
992,4.0,63.0
993,3.5,75.0
994,3.5,73.0
995,2.75,70.0
996,3.5,70.0
997,2.75,70.0
998,2.75,70.0
999,3.25,70.0
1000,3.25,70.0
1001,3.5,70.0
1002,2.5,70.0
1003,2.75,70.0
1004,2.75,72.0
1005,2.0,75.0
1006,3.0,70.0
1007,3.25,70.0
1008,3.75,70.0
1009,2.0,70.0
1010,2.75,75.0
1011,3.5,73.0
1012,3.5,65.0
1013,3.5,55.0
1014,2.75,55.0
1015,3.0,70.0
1016,2.5,74.0
1017,2.5,74.0
1018,2.75,74.0
1019,3.75,74.0
1020,2.75,70.0
1021,3.5,72.0
1022,3.75,72.0
1023,3.75,72.0
1024,3.25,72.0
1025,2.75,72.0
1026,3.0,72.0
1027,3.25,72.0
1028,3.75,70.0
1029,3.5,70.0
1030,3.75,70.0
1031,3.5,85.0
1032,3.25,70.0
1033,3.5,70.0
1034,3.25,70.0
1035,3.25,75.0
1036,3.5,70.0
1037,3.5,62.0
1038,3.5,70.0
1039,2.75,70.0
1040,3.5,70.0
1041,3.5,68.0
1042,2.75,75.0
1043,3.0,72.0
1044,3.5,78.0
1045,3.0,70.0
1046,2.75,70.0
1047,3.0,70.0
1048,3.25,75.0
1049,3.25,85.0
1050,3.5,68.0
1051,3.75,70.0
1052,3.5,75.0
1053,3.5,76.0
1054,3.5,72.0
1055,3.5,70.0
1056,3.5,78.0
1057,3.0,80.0
1058,3.5,74.0
1059,3.0,65.0
1060,3.0,65.0
1061,3.25,65.0
1062,3.5,65.0
1063,2.25,74.0
1064,2.5,89.0
1065,2.75,76.0
1066,3.0,82.0
1067,3.25,74.0
1068,3.0,76.0
1069,3.25,74.0
1070,3.75,75.0
1071,3.5,73.0
1072,2.5,72.0
1073,2.75,73.0
1074,3.5,72.0
1075,3.0,76.0
1076,3.0,70.0
1077,2.75,81.0
1078,3.5,70.0
1079,2.75,71.0
1080,3.0,75.0
1081,3.25,73.0
1082,3.75,74.0
1083,2.75,81.0
1084,3.0,75.0
1085,3.25,70.0
1086,3.5,72.0
1087,4.0,68.0
1088,4.0,74.0
1089,3.75,70.0
1090,3.25,70.0
1091,3.25,70.0
1092,3.25,82.0
1093,3.5,63.0
1094,3.0,72.0
1095,2.5,70.0
1096,2.75,70.0
1097,3.0,70.0
1098,3.0,70.0
1099,3.5,70.0
1100,2.5,80.0
1101,2.5,72.0
1102,2.75,80.0
1103,3.0,70.0
1104,3.25,80.0
1105,3.5,70.0
1106,3.25,70.0
1107,3.5,80.0
1108,3.0,70.0
1109,3.5,72.0
1110,3.5,70.0
1111,3.75,66.0
1112,3.5,66.0
1113,3.5,67.0
1114,2.0,60.0
1115,2.0,85.0
1116,3.0,70.0
1117,4.0,67.0
1118,4.0,65.0
1119,4.0,64.0
1120,2.0,99.0
1121,3.5,80.0
1122,3.5,70.0
1123,3.75,75.0
1124,3.75,75.0
1125,3.25,75.0
1126,3.5,70.0
1127,2.5,75.0
1128,3.25,80.0
1129,1.5,65.0
1130,2.0,75.0
1131,2.5,70.0
1132,2.5,70.0
1133,3.5,70.0
1134,2.75,67.0
1135,2.75,77.0
1136,3.5,70.0
1137,3.75,75.0
1138,3.5,70.0
1139,2.5,65.0
1140,3.25,73.0
1141,3.0,72.0
1142,2.75,67.0
1143,3.0,70.0
1144,2.75,70.0
1145,3.25,70.0
1146,2.75,70.0
1147,2.75,70.0
1148,3.25,70.0
1149,3.5,72.0
1150,3.25,70.0
1151,3.25,70.0
1152,3.5,63.0
1153,3.5,85.0
1154,3.5,70.0
1155,3.5,80.0
1156,2.75,68.0
1157,2.75,71.0
1158,2.75,68.0
1159,3.0,80.0
1160,2.5,58.0
1161,3.0,70.0
1162,3.75,70.0
1163,3.75,78.0
1164,2.5,71.0
1165,3.25,70.0
1166,2.75,75.0
1167,3.0,70.0
1168,3.5,85.0
1169,2.25,72.0
1170,2.5,70.0
1171,2.5,73.5
1172,3.5,70.0
1173,2.5,70.0
1174,3.75,67.0
1175,1.0,73.0
1176,2.0,73.0
1177,2.75,75.0
1178,3.0,71.0
1179,2.25,72.0
1180,2.75,72.0
1181,3.0,72.0
1182,3.0,72.0
1183,2.75,75.0
1184,3.5,75.0
1185,3.0,75.0
1186,3.0,75.0
1187,3.25,75.0
1188,3.0,70.0
1189,3.0,70.0
1190,3.0,70.0
1191,2.75,75.0
1192,3.25,80.0
1193,3.75,70.0
1194,2.75,70.0
1195,3.0,70.0
1196,3.5,70.0
1197,3.75,70.0
1198,3.5,70.0
1199,2.5,70.0
1200,3.75,70.0
1201,3.75,70.0
1202,3.75,70.0
1203,4.0,75.0
1204,2.75,100.0
1205,3.5,70.0
1206,2.75,66.0
1207,3.0,70.0
1208,3.25,88.0
1209,3.5,74.0
1210,2.75,70.0
1211,3.0,70.0
1212,3.5,70.0
1213,3.0,72.0
1214,3.0,72.0
1215,2.75,67.0
1216,3.0,75.0
1217,2.0,76.0
1218,2.75,76.0
1219,2.75,85.0
1220,3.0,85.0
1221,2.75,80.0
1222,3.75,70.0
1223,3.0,70.0
1224,3.5,66.0
1225,2.75,74.0
1226,2.75,72.0
1227,2.75,72.0
1228,3.0,72.0
1229,3.0,72.0
1230,2.75,68.0
1231,3.25,80.0
1232,3.75,66.0
1233,3.0,70.0
1234,3.0,75.0
1235,3.25,68.0
1236,3.0,60.0
1237,3.0,60.0
1238,3.0,65.0
1239,3.0,72.0
1240,4.0,70.0
1241,3.25,70.0
1242,3.5,70.0
1243,3.75,70.0
1244,4.0,70.0
1245,2.75,85.0
1246,4.0,70.0
1247,3.5,70.0
1248,2.5,60.0
1249,2.75,65.0
1250,3.0,72.0
1251,2.0,100.0
1252,3.5,70.0
1253,2.75,70.0
1254,3.0,72.0
1255,3.25,70.0
1256,3.25,70.0
1257,3.5,72.0
1258,3.75,72.0
1259,2.75,72.0
1260,3.75,78.0
1261,2.75,75.0
1262,3.5,75.0
1263,3.75,70.0
1264,3.0,76.0
1265,3.5,65.0
1266,3.25,70.0
1267,3.5,70.0
1268,3.0,70.0
1269,3.5,70.0
1270,2.5,55.0
1271,2.75,70.0
1272,3.75,70.0
1273,4.0,75.0
1274,3.5,67.0
1275,3.5,70.0
1276,4.0,70.0
1277,4.0,67.0
1278,2.25,73.0
1279,2.75,64.0
1280,3.0,82.0
1281,3.25,70.0
1282,3.0,75.0
1283,3.25,75.0
1284,3.75,78.0
1285,3.0,85.0
1286,3.0,72.0
1287,3.0,72.0
1288,4.0,70.0
1289,3.75,72.0
1290,4.0,72.0
1291,3.5,85.0
1292,4.0,72.0
1293,3.0,72.0
1294,4.0,72.0
1295,2.5,80.0
1296,2.5,62.0
1297,2.75,80.0
1298,2.75,80.0
1299,2.75,80.0
1300,3.25,80.0
1301,3.25,73.0
1302,2.5,73.0
1303,3.25,73.0
1304,3.5,73.0
1305,2.5,76.0
1306,2.75,82.0
1307,3.75,70.0
1308,3.75,70.0
1309,3.5,70.0
1310,3.0,70.0
1311,2.75,70.0
1312,3.5,70.0
1313,3.75,82.0
1314,3.25,75.0
1315,3.25,75.0
1316,3.5,75.0
1317,2.0,75.0
1318,3.0,75.0
1319,3.0,100.0
1320,2.0,75.0
1321,3.5,75.0
1322,4.0,75.0
1323,3.0,75.0
1324,3.5,75.0
1325,3.5,75.0
1326,3.5,75.0
1327,3.75,75.0
1328,3.5,75.0
1329,3.5,75.0
1330,4.0,75.0
1331,3.0,75.0
1332,3.0,75.0
1333,3.25,75.0
1334,3.5,75.0
1335,4.0,80.0
1336,3.0,75.0
1337,3.0,75.0
1338,3.5,75.0
1339,3.5,77.0
1340,3.5,70.0
1341,3.5,74.0
1342,2.75,80.0
1343,2.75,75.0
1344,3.0,75.0
1345,3.25,72.0
1346,2.75,85.0
1347,2.75,73.0
1348,3.25,75.0
1349,3.5,85.0
1350,2.75,55.0
1351,3.25,80.0
1352,3.0,60.0
1353,3.25,65.0
1354,2.75,70.0
1355,3.0,74.0
1356,3.0,70.0
1357,2.75,75.0
1358,3.25,75.0
1359,3.5,85.0
1360,2.75,70.0
1361,3.0,75.0
1362,2.5,70.0
1363,3.25,80.0
1364,3.5,73.0
1365,3.25,75.0
1366,2.5,70.0
1367,3.25,75.0
1368,2.5,75.0
1369,3.0,75.0
1370,3.5,67.0
1371,3.75,75.0
1372,3.75,75.0
1373,3.5,85.0
1374,3.5,70.0
1375,3.75,75.0
1376,3.0,75.0
1377,4.0,75.0
1378,3.25,75.0
1379,3.5,75.0
1380,3.5,75.0
1381,3.25,70.0
1382,3.25,70.0
1383,3.25,70.0
1384,3.25,75.0
1385,3.25,68.0
1386,3.5,66.0
1387,3.75,75.0
1388,3.75,70.0
1389,3.25,75.0
1390,3.75,80.0
1391,3.5,70.0
1392,3.5,70.0
1393,4.0,75.0
1394,3.75,75.0
1395,3.75,75.0
1396,3.0,75.0
1397,3.75,75.0
1398,3.5,70.0
1399,2.75,70.0
1400,2.75,70.0
1401,2.75,70.0
1402,3.0,70.0
1403,2.5,84.0
1404,2.25,76.0
1405,2.5,72.0
1406,3.5,73.0
1407,2.5,71.0
1408,3.5,70.0
1409,2.75,77.0
1410,3.5,64.0
1411,1.5,100.0
1412,3.0,70.0
1413,3.5,72.0
1414,3.5,72.0
1415,2.75,83.0
1416,3.25,69.0
1417,3.5,70.0
1418,3.5,70.0
1419,3.5,70.0
1420,3.5,70.0
1421,2.75,75.0
1422,3.0,70.0
1423,2.0,53.0
1424,3.0,65.0
1425,4.0,70.0
1426,2.75,70.0
1427,4.0,78.0
1428,3.75,68.0
1429,3.5,68.0
1430,3.75,65.0
1431,3.75,68.0
1432,4.0,65.0
1433,3.75,72.0
1434,3.0,72.0
1435,3.0,72.0
1436,3.0,62.0
1437,3.75,75.0
1438,3.0,75.0
1439,2.0,82.0
1440,3.5,70.0
1441,2.0,68.0
1442,2.0,70.0
1443,3.0,62.0
1444,2.75,70.0
1445,2.75,70.0
1446,3.25,72.0
1447,3.5,73.0
1448,2.75,77.0
1449,3.5,74.0
1450,3.0,75.0
1451,3.25,72.0
1452,2.0,73.0
1453,2.5,73.0
1454,3.25,70.0
1455,3.5,75.0
1456,3.25,82.0
1457,3.5,70.0
1458,2.5,70.0
1459,3.0,67.0
1460,3.25,65.0
1461,3.25,60.0
1462,3.0,68.0
1463,3.5,73.0
1464,3.5,73.0
1465,3.75,73.0
1466,3.0,100.0
1467,3.0,100.0
1468,3.0,73.0
1469,3.25,73.0
1470,3.25,73.0
1471,3.75,67.0
1472,3.75,73.0
1473,3.75,73.0
1474,2.75,70.0
1475,3.0,72.0
1476,3.5,70.0
1477,3.75,70.0
1478,4.0,70.0
1479,3.75,70.0
1480,3.0,70.0
1481,3.75,67.0
1482,3.25,70.0
1483,3.25,65.0
1484,3.5,70.0
1485,3.75,67.0
1486,3.75,70.0
1487,4.0,72.0
1488,2.75,72.0
1489,3.5,65.0
1490,3.0,67.0
1491,3.75,70.0
1492,1.5,67.0
1493,3.0,68.0
1494,3.25,68.0
1495,3.5,70.0
1496,3.0,72.0
1497,2.75,68.0
1498,2.75,85.0
1499,3.25,70.0
1500,3.25,75.0
1501,3.0,70.0
1502,3.0,70.0
1503,3.0,70.0
1504,3.25,70.0
1505,3.25,70.0
1506,3.5,70.0
1507,3.5,62.0
1508,3.5,70.0
1509,3.5,70.0
1510,3.75,75.0
1511,3.75,70.0
1512,4.0,70.0
1513,3.25,70.0
1514,3.5,70.0
1515,4.0,75.0
1516,3.5,70.0
1517,3.75,70.0
1518,3.25,70.0
1519,3.5,80.0
1520,3.75,70.0
1521,3.25,70.0
1522,3.75,77.0
1523,3.25,70.0
1524,2.75,70.0
1525,3.75,70.0
1526,3.25,70.0
1527,3.75,70.0
1528,4.0,88.0
1529,4.0,70.0
1530,4.0,67.0
1531,3.25,70.0
1532,4.0,70.0
1533,3.25,70.0
1534,3.75,70.0
1535,4.0,70.0
1536,4.0,70.0
1537,3.5,70.0
1538,3.75,70.0
1539,3.5,70.0
1540,3.5,85.0
1541,2.75,70.0
1542,3.5,70.0
1543,4.0,64.0
1544,4.0,70.0
1545,3.75,70.0
1546,3.5,70.0
1547,3.75,70.0
1548,3.0,70.0
1549,3.5,70.0
1550,3.0,70.0
1551,3.5,70.0
1552,3.75,70.0
1553,3.75,70.0
1554,3.25,70.0
1555,3.5,70.0
1556,3.25,70.0
1557,3.5,70.0
1558,3.5,75.0
1559,3.25,75.0
1560,3.25,77.0
1561,3.5,80.0
1562,3.0,70.0
1563,3.0,80.0
1564,3.25,75.0
1565,3.75,70.0
1566,3.5,70.0
1567,2.75,70.0
1568,3.5,70.0
1569,3.75,70.0
1570,3.75,70.0
1571,2.75,72.0
1572,3.0,70.0
1573,3.0,70.0
1574,2.25,84.0
1575,3.0,70.0
1576,3.0,70.0
1577,3.0,70.0
1578,3.0,70.0
1579,3.0,70.0
1580,2.75,68.0
1581,3.25,72.0
1582,3.5,84.0
1583,3.5,70.0
1584,2.5,65.0
1585,2.5,70.0
1586,2.75,75.0
1587,2.75,67.0
1588,3.25,78.0
1589,2.5,61.0
1590,3.0,71.0
1591,2.75,70.0
1592,3.0,60.0
1593,2.75,70.0
1594,3.25,70.0
1595,3.25,88.0
1596,3.25,70.0
1597,3.75,70.0
1598,3.25,70.0
1599,3.5,70.0
1600,3.5,70.0
1601,3.75,70.0
1602,3.5,70.0
1603,3.5,70.0
1604,3.25,70.0
1605,3.25,70.0
1606,3.25,70.0
1607,3.75,70.0
1608,3.0,70.0
1609,2.75,70.0
1610,2.75,70.0
1611,2.5,70.0
1612,3.0,70.0
1613,3.0,70.0
1614,3.25,62.0
1615,3.25,60.0
1616,2.75,77.0
1617,3.25,70.0
1618,3.0,68.0
1619,3.25,87.0
1620,2.75,75.0
1621,3.0,70.0
1622,2.0,62.0
1623,3.25,99.0
1624,2.75,60.0
1625,3.0,68.0
1626,2.5,70.0
1627,2.5,70.0
1628,2.75,70.0
1629,2.5,70.0
1630,2.75,70.0
1631,3.0,70.0
1632,3.0,70.0
1633,3.5,70.0
1634,3.25,70.0
1635,2.0,70.0
1636,3.25,70.0
1637,2.75,70.0
1638,3.0,70.0
1639,3.25,70.0
1640,2.75,70.0
1641,3.0,80.0
1642,3.25,67.0
1643,3.5,70.0
1644,2.75,70.0
1645,3.75,70.0
1646,3.75,70.0
1647,3.25,70.0
1648,3.5,70.0
1649,3.75,70.0
1650,3.25,77.0
1651,3.75,67.0
1652,3.75,73.0
1653,3.0,70.0
1654,3.25,65.0
1655,3.5,65.0
1656,2.5,75.0
1657,3.0,84.0
1658,2.0,91.0
1659,3.0,75.0
1660,3.25,70.0
1661,3.75,72.0
1662,3.25,81.0
1663,4.0,70.0
1664,3.0,77.0
1665,2.75,72.0
1666,3.0,74.0
1667,3.0,72.0
1668,3.5,72.0
1669,2.75,75.0
1670,3.5,75.0
1671,3.5,75.0
1672,3.25,68.0
1673,2.5,75.0
1674,2.75,73.0
1675,3.0,60.0
1676,3.75,63.0
1677,2.75,74.0
1678,3.0,70.0
1679,3.0,72.0
1680,3.25,72.0
1681,3.25,65.0
1682,4.0,63.0
1683,3.5,70.0
1684,3.5,64.0
1685,4.0,69.0
1686,3.25,56.0
1687,4.0,64.0
1688,3.75,64.0
1689,3.75,66.0
1690,3.5,68.0
1691,3.0,72.0
1692,3.75,65.0
1693,4.0,64.0
1694,1.5,85.0
1695,2.5,85.0
1696,2.75,71.0
1697,3.25,64.0
1698,3.0,66.0
1699,4.0,70.0
1700,2.5,64.0
1701,3.0,64.0
1702,3.5,64.0
1703,2.5,72.0
1704,2.75,65.0
1705,2.75,72.0
1706,2.75,76.0
1707,2.75,80.0
1708,3.0,70.0
1709,3.0,68.0
1710,3.25,64.0
1711,3.25,70.0
1712,3.25,70.0
1713,3.25,90.0
1714,3.5,75.0
1715,3.5,75.0
1716,3.75,90.0
1717,3.25,70.0
1718,3.5,70.0
1719,3.0,75.0
1720,2.0,100.0
1721,2.0,90.0
1722,3.0,75.0
1723,3.0,65.0
1724,2.75,77.0
1725,3.0,77.0
1726,3.0,77.0
1727,3.25,77.0
1728,2.75,77.0
1729,2.5,70.0
1730,2.5,70.0
1731,3.0,70.0
1732,3.5,70.0
1733,3.5,70.0
1734,2.5,72.0
1735,2.5,75.0
1736,2.75,89.0
1737,3.25,75.0
1738,2.75,75.0
1739,4.0,70.0
1740,3.0,88.0
1741,2.25,100.0
1742,3.0,71.0
1743,3.5,72.0
1744,3.75,69.0
1745,3.0,70.0
1746,3.25,72.0
1747,3.0,74.0
1748,3.5,76.0
1749,3.75,75.0
1750,3.0,70.0
1751,3.25,70.0
1752,3.5,70.0
1753,2.5,70.0
1754,3.0,70.0
1755,3.25,70.0
1756,4.0,70.0
1757,3.5,70.0
1758,3.0,66.0
1759,2.75,70.0
1760,2.5,70.0
1761,3.0,70.0
1762,3.25,70.0
1763,3.25,70.0
1764,3.25,70.0
1765,3.5,70.0
1766,3.0,60.0
1767,3.5,70.0
1768,2.75,70.0
1769,2.75,85.0
1770,3.0,85.0
1771,3.5,70.0
1772,3.5,78.0
1773,3.75,78.0
1774,3.25,65.0
1775,3.5,68.0
1776,3.5,66.0
1777,3.75,72.0
1778,2.75,80.0
1779,3.5,72.0
1780,3.5,65.0
1781,3.0,70.0
1782,3.5,70.0
1783,3.75,62.0
1784,3.0,75.0
1785,3.0,75.0
1786,3.25,90.0
1787,3.75,70.0
1788,3.25,68.0
1789,3.5,58.0
1790,3.75,70.0
1791,3.0,65.0
1792,3.5,65.0
1793,3.25,62.0
1794,3.0,65.0
